[00:06:54] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[00:06:56] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[00:06:56] [main/INFO]: Reloading ResourceManager: Default
[00:06:59] [Worker-Main-5/INFO]: Loaded 7 recipes
[00:07:01] [Worker-Main-5/INFO]: Loaded 1127 advancements
[00:07:05] [Server thread/INFO]: Starting minecraft server version 21w17a
[00:07:05] [Server thread/INFO]: Loading properties
[00:07:05] [Server thread/INFO]: Default game type: SURVIVAL
[00:07:05] [Server thread/INFO]: Generating keypair
[00:07:05] [Server thread/INFO]: Starting Minecraft server on *:25565
[00:07:05] [Server thread/INFO]: Using default channel type
[00:07:06] [Server thread/INFO]: Preparing level "world"
[00:07:23] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[00:07:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:26] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:27] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:27] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:07:28] [Worker-Main-6/INFO]: Preparing spawn area: 0%
[00:07:29] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:29] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:30] [Worker-Main-4/INFO]: Preparing spawn area: 0%
[00:07:30] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:31] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:31] [Worker-Main-5/INFO]: Preparing spawn area: 0%
[00:07:32] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[00:07:32] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[00:07:33] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[00:07:33] [Worker-Main-4/INFO]: Preparing spawn area: 1%
[00:07:34] [Worker-Main-6/INFO]: Preparing spawn area: 1%
[00:07:34] [Worker-Main-4/INFO]: Preparing spawn area: 1%
